date,temperature,humidity,luminosity
2023-12-21 15:05:41.746,18.1,22.6,17
2023-12-21 15:05:39.703,18.1,22.6,17
2023-12-21 15:05:37.661,18.2,22.5,17
2023-12-21 15:05:35.617,18.1,22.5,17
2023-12-21 15:05:33.574,18.1,22.5,17
2023-12-21 15:05:31.532,18.1,22.5,17
2023-12-21 15:05:29.488,18.1,22.6,17
2023-12-21 15:05:27.445,18.1,22.5,17
2023-12-21 15:05:25.402,18.2,22.5,17
2023-12-21 15:05:23.360,18.1,22.5,17
2023-12-21 15:05:21.316,18.2,22.5,17
2023-12-21 15:05:19.274,18.2,22.5,17
2023-12-21 15:05:17.230,18.2,22.5,17
2023-12-21 15:05:15.187,18.1,22.5,17
2023-12-21 15:05:13.145,18.2,22.5,17
2023-12-21 15:05:11.102,18.1,22.5,17
2023-12-21 15:05:09.059,18.2,22.4,17
2023-12-21 15:05:07.016,18.2,22.5,17
2023-12-21 15:05:04.973,18.2,22.4,17
2023-12-21 15:05:02.933,18.2,22.4,17
2023-12-21 15:05:00.890,18.2,22.4,17
2023-12-21 15:04:58.847,18.2,22.4,16
2023-12-21 15:04:56.804,18.2,22.4,15
2023-12-21 15:04:54.761,18.2,22.4,15
2023-12-21 15:04:52.718,18.2,22.4,15
2023-12-21 15:04:50.675,18.2,22.5,16
2023-12-21 15:04:48.632,18.2,22.4,16
2023-12-21 15:04:46.589,18.2,22.3,16
2023-12-21 15:04:44.546,18.2,22.5,16
2023-12-21 15:04:42.504,18.2,22.4,16
2023-12-21 15:04:40.461,18.2,22.4,16
2023-12-21 15:04:38.418,18.2,22.3,16
2023-12-21 15:04:36.375,18.2,22.4,16
2023-12-21 15:04:34.332,18.2,22.4,16
2023-12-21 15:04:32.289,18.2,22.3,16
2023-12-21 15:04:30.246,18.2,22.3,16
2023-12-21 15:04:28.203,18.2,22.3,16
2023-12-21 15:04:26.160,18.2,22.3,15
2023-12-21 15:04:24.117,18.2,22.3,16
2023-12-21 15:04:22.074,18.3,22.3,16
2023-12-21 15:04:20.031,18.2,22.3,15
2023-12-21 15:04:17.988,18.2,22.3,15
2023-12-21 15:04:15.945,18.3,22.3,15
2023-12-21 15:04:13.902,18.2,22.2,15
2023-12-21 15:04:11.859,18.2,22.3,15
2023-12-21 15:04:09.816,18.3,22.3,15
2023-12-21 15:04:07.773,18.2,22.2,16
2023-12-21 15:04:05.730,18.2,22.3,16
2023-12-21 15:04:03.687,18.2,22.2,16
2023-12-21 15:04:01.648,18.3,22.3,16
2023-12-21 15:03:59.604,18.3,22.2,16
2023-12-21 15:03:57.562,18.2,22.2,15
2023-12-21 15:03:55.518,18.3,22.3,16
2023-12-21 15:03:53.475,18.2,22.2,16
2023-12-21 15:03:51.432,18.2,22.3,15
2023-12-21 15:03:49.389,18.2,22.3,15
2023-12-21 15:03:47.345,18.2,22.3,15
2023-12-21 15:03:45.302,18.3,22.2,15
2023-12-21 15:03:43.259,18.3,22.2,16
2023-12-21 15:03:41.216,18.3,22.3,16
2023-12-21 15:03:39.173,18.3,22.3,15
2023-12-21 15:03:37.130,18.3,22.3,15
2023-12-21 15:03:35.087,18.3,22.2,15
2023-12-21 15:03:33.044,18.3,22.3,16
2023-12-21 15:03:31.001,18.3,22.2,16
2023-12-21 15:03:28.958,18.3,22.2,15
2023-12-21 15:03:26.915,18.3,22.3,15
2023-12-21 15:03:24.872,18.3,22.3,16
2023-12-21 15:03:22.829,18.3,22.3,16
2023-12-21 15:03:20.786,18.3,22.3,15
2023-12-21 15:03:18.743,18.3,22.2,15
2023-12-21 15:03:16.700,18.3,22.3,15
2023-12-21 15:03:14.657,18.3,22.3,16
2023-12-21 15:03:12.614,18.3,22.4,15
2023-12-21 15:03:10.571,18.3,22.4,15
2023-12-21 15:03:08.528,18.3,22.3,16
2023-12-21 15:03:06.485,18.3,22.3,16
2023-12-21 15:03:04.442,18.3,22.2,15
2023-12-21 15:03:02.399,18.3,22.3,16
2023-12-21 15:03:00.359,18.3,22.3,15
2023-12-21 15:02:58.316,18.3,22.3,15
2023-12-21 15:02:56.273,18.3,22.3,15
2023-12-21 15:02:54.230,18.3,22.2,15
2023-12-21 15:02:52.187,18.3,22.2,15
2023-12-21 15:02:50.144,18.3,22.3,15
2023-12-21 15:02:48.100,18.3,22.2,15
2023-12-21 15:02:46.057,18.4,22.1,15
2023-12-21 15:02:44.014,18.3,22.2,15
2023-12-21 15:02:41.972,18.4,22.2,15
2023-12-21 15:02:39.929,18.3,22.2,15
2023-12-21 15:02:37.885,18.3,22.2,15
2023-12-21 15:02:35.842,18.3,22.1,15
2023-12-21 15:02:33.800,18.3,22.2,16
2023-12-21 15:02:31.756,18.4,22.2,15
2023-12-21 15:02:29.714,18.3,22.2,15
2023-12-21 15:02:27.671,18.3,22.2,16
2023-12-21 15:02:25.627,18.4,22.2,16
2023-12-21 15:02:23.585,18.4,22.1,15
2023-12-21 15:02:21.541,18.4,22.2,15
2023-12-21 15:02:19.499,18.4,22.2,15
2023-12-21 15:02:17.456,18.4,22.1,15
2023-12-21 15:02:15.413,18.4,22.0,15
2023-12-21 15:02:13.369,18.4,22.2,16
2023-12-21 15:02:11.326,18.4,22.1,16
2023-12-21 15:02:09.283,18.4,22.1,16
2023-12-21 15:02:07.240,18.4,22.1,16
2023-12-21 15:02:05.197,18.4,22.0,16
2023-12-21 15:02:03.154,18.4,22.2,15
2023-12-21 15:02:01.111,18.4,22.1,16
2023-12-21 15:01:59.072,18.4,22.1,16
2023-12-21 15:01:57.029,18.4,22.0,15
2023-12-21 15:01:54.986,18.5,22.1,15
2023-12-21 15:01:52.943,18.4,22.2,15
2023-12-21 15:01:50.900,18.4,22.1,15
2023-12-21 15:01:48.857,18.5,22.1,15
2023-12-21 15:01:46.814,18.4,22.0,15
2023-12-21 15:01:44.771,18.5,22.1,15
2023-12-21 15:01:42.728,18.5,22.1,14
2023-12-21 15:01:40.685,18.5,22.0,15
2023-12-21 15:01:38.642,18.5,22.1,15
2023-12-21 15:01:36.600,18.4,22.1,15
2023-12-21 15:01:34.556,18.5,22.0,15
2023-12-21 15:01:32.513,18.5,22.0,15
2023-12-21 15:01:30.470,18.5,22.0,15
2023-12-21 15:01:28.427,18.5,22.1,15
2023-12-21 15:01:26.385,18.5,22.0,15
2023-12-21 15:01:24.341,18.5,22.1,15
2023-12-21 15:01:22.298,18.5,22.0,15
2023-12-21 15:01:20.256,18.5,22.0,15
2023-12-21 15:01:18.213,18.5,22.0,15
2023-12-21 15:01:16.169,18.5,22.1,17
2023-12-21 15:01:14.127,18.6,22.0,17
2023-12-21 15:01:12.084,18.5,22.1,17
2023-12-21 15:01:10.041,18.6,22.1,17
2023-12-21 15:01:07.998,18.5,22.0,17
2023-12-21 15:01:05.955,18.6,22.1,17
2023-12-21 15:01:03.912,18.6,22.2,17
2023-12-21 15:01:01.869,18.6,22.1,17
2023-12-21 15:00:59.826,18.6,22.1,17
2023-12-21 15:00:57.786,18.6,22.1,17
2023-12-21 15:00:55.743,18.6,22.1,17
2023-12-21 15:00:53.700,18.6,22.2,17
2023-12-21 15:00:51.657,18.6,22.2,17
2023-12-21 15:00:49.614,18.6,22.1,17
2023-12-21 15:00:47.571,18.6,22.0,17
2023-12-21 15:00:45.528,18.6,22.1,17
2023-12-21 15:00:43.485,18.6,22.1,17
2023-12-21 15:00:41.442,18.7,22.2,17
2023-12-21 15:00:39.399,18.7,22.0,17
2023-12-21 15:00:37.357,18.6,22.2,17
2023-12-21 15:00:35.313,18.7,22.2,17
2023-12-21 15:00:33.271,18.7,22.1,17
2023-12-21 15:00:31.227,18.7,22.1,17
2023-12-21 15:00:29.183,18.7,22.1,17
2023-12-21 15:00:27.140,18.7,22.2,17
2023-12-21 15:00:25.097,18.7,22.1,16
2023-12-21 15:00:23.055,18.7,22.2,14
2023-12-21 15:00:21.012,18.7,22.1,14
2023-12-21 15:00:18.968,18.7,22.2,14
2023-12-21 15:00:16.926,18.8,22.1,14
2023-12-21 15:00:14.882,18.8,22.1,14
2023-12-21 15:00:12.839,18.7,22.1,14
2023-12-21 15:00:10.797,18.7,22.2,15
2023-12-21 15:00:08.753,18.8,22.2,15
2023-12-21 15:00:06.711,18.8,22.2,15
2023-12-21 15:00:04.667,18.8,22.3,14
2023-12-21 15:00:02.624,18.8,22.2,3
2023-12-21 15:00:00.581,18.8,22.2,3
2023-12-21 14:59:58.537,18.9,22.2,4
2023-12-21 14:59:56.499,18.9,22.2,61
2023-12-21 14:59:54.456,18.9,22.1,62
2023-12-21 14:59:52.412,18.9,22.1,61
2023-12-21 14:59:50.369,18.9,22.1,61
2023-12-21 14:59:48.326,18.9,22.1,71
2023-12-21 14:59:46.284,18.9,22.1,66
2023-12-21 14:59:44.241,18.9,22.2,76
2023-12-21 14:59:42.198,18.9,22.2,76
2023-12-21 14:59:40.155,18.9,22.1,76
2023-12-21 14:59:38.112,19.0,22.1,77
2023-12-21 14:59:36.068,19.0,22.1,77
2023-12-21 14:59:34.025,19.0,22.2,77
2023-12-21 14:59:31.982,19.0,22.1,77
2023-12-21 14:59:29.939,19.0,22.2,78
2023-12-21 14:59:27.896,19.0,22.1,77
2023-12-21 14:59:25.853,19.0,22.0,77
2023-12-21 14:59:23.810,19.1,22.1,78
2023-12-21 14:59:21.767,19.1,22.1,78
2023-12-21 14:59:19.724,19.1,22.2,78
2023-12-21 14:59:17.681,19.1,22.2,74
2023-12-21 14:59:15.637,19.1,22.2,75
2023-12-21 14:59:13.594,19.1,22.2,75
2023-12-21 14:59:11.552,19.1,22.2,76
2023-12-21 14:59:09.508,19.1,22.2,65
2023-12-21 14:59:07.465,19.1,22.1,75
2023-12-21 14:59:05.422,19.2,22.2,76
2023-12-21 14:59:03.379,19.2,22.3,77
2023-12-21 14:59:01.337,19.2,22.3,69
2023-12-21 14:58:59.294,19.3,22.3,77
2023-12-21 14:58:57.250,19.3,22.3,291
